food_id,food_name,category,calories,protein,fat,carbs,iron,calcium,vitaminA,vitaminC,folate,region
0,Dal Bhat (rice+dal),Staple,350,12,1,70,3.0,30,20,5,40,all
1,Momo (filled dumplings),Snack,280,10,8,40,2.0,15,5,3,25,all
2,Gundruk (fermented greens),Vegetable,50,3,0.5,10,1.5,70,150,45,60,himalayan
3,Aloo Tama (potato+bamboo),Curry,200,4,5,30,1.5,25,80,8,20,himalayan
4,Saag (leafy greens),Vegetable,40,3,0.4,6,2.7,99,200,30,65,terai
5,Chatamari (rice crepe),Snack,180,5,6,28,1.0,20,10,4,15,hilly
6,Yomari (sweet),Dessert,300,5,8,60,0.8,10,20,2,10,hilly
7,Phapar ko Roti (buckwheat),Bread,150,4,3,25,2.0,35,0,0,30,hilly
8,Kachilaa (raw meat),Meat,250,20,17,2,2.5,15,0,0,5,himalayan
9,Dhido (millet porridge),Staple,200,5,2,40,1.5,20,0,0,25,hilly
10,Kwati (mixed beans soup),Soup,180,10,3,28,2.5,50,0,0,40,hilly
11,Kinema (fermented soybean),Protein,120,11,4,8,3.0,45,0,0,30,hilly
12,Ghonghi (snails curry),Protein,130,15,6,4,2.0,60,0,1,10,hilly
13,Chhurpi (dried cheese),Snack,400,25,30,10,0.5,120,0,0,5,himalayan
14,Thukpa (noodle soup),Soup,300,8,12,35,1.0,35,15,5,20,himalayan
15,Aloo Dum (fried potato curry),Curry,220,4,0,25,1.5,30,5,10,15,hilly
16,Chatpate (spicy puffed rice),Snack,150,3,0,30,1.0,10,5,2,10,terai
17,Bara (lentil patty),Snack,180,8,0,20,2.0,50,0,0,25,hilly
18,Sekuwa (grilled meat),Meat,220,18,14,0,1.0,40,0,0,5,terai
19,Sukuti (dried meat),Meat,350,28,24,5,2.0,55,0,0,5,himalayan
20,Dhikri (rice dumpling),Snack,160,4,2,35,0.5,15,0,0,10,hilly
21,Pitha (rice cake),Dessert,190,4,4,36,1.0,20,0,0,15,hilly
22,Laphing (starch noodles),Snack,160,3,1,35,0.5,10,0,0,10,hilly
23,Sakarni (curd dessert),Dessert,200,6,8,20,0.5,120,0,0,15,terai
24,Juju dhau (king curd),Dessert,180,5,10,15,0.5,100,0,0,10,terai
25,Tongba (millet beverage),Drink,120,3,2,20,1.0,15,0,0,10,himalayan
26,Butter Tea (Himalayan),Drink,200,2,0,5,15.0,30,0,0,5,himalayan
27,Chhaang (fermented drink),Drink,150,0.5,2,30,0.5,15,0,0,5,himalayan
28,Phapar roti (buckwheat bread),Bread,160,5,4,28,2.0,50,0,0,20,hilly
29,Pulao (vegetable rice),Staple,220,5,6,40,1.5,40,10,5,25,terai
30,Masu (meat curry),Curry,300,20,18,10,2.5,30,0,0,5,terai
31,Tarkari (mixed veggies),Curry,120,3,5,18,1.0,40,30,12,25,terai
32,Achar (pickle),Condiment,50,0.5,3,5,0.5,10,0,2,5,terai
33,Chiura (beaten rice),Snack,120,2,1,26,0.5,15,0,0,10,terai
34,Bhatmas (fried soybeans),Snack,180,15,0,10,8.0,50,0,0,40,hilly
35,Batuk (lentil donut),Snack,200,7,0,22,1.5,40,0,0,20,hilly
36,Bagiya (filled rice roll),Snack,170,4,5,30,1.0,25,0,0,15,hilly
37,Dudh puwa (rice porridge),Dessert,180,4,6,28,1.0,20,0,0,15,hilly
